province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Meta,Colombia,2021-03-24,3.272,-73.0877,POINT(-73.0877 3.272),43386,992,41942,452,,,"Meta, Colombia"
Meta,Colombia,2021-06-20,3.272,-73.0877,POINT(-73.0877 3.272),64504,1507,60801,2196,,,"Meta, Colombia"
Meta,Colombia,2021-11-26,3.272,-73.0877,POINT(-73.0877 3.272),90099,2282,,,,,"Meta, Colombia"
Meta,Colombia,2021-08-15,3.272,-73.0877,POINT(-73.0877 3.272),86750,2180,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-10,3.272,-73.0877,POINT(-73.0877 3.272),87613,2212,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-19,3.272,-73.0877,POINT(-73.0877 3.272),89572,2273,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-30,3.272,-73.0877,POINT(-73.0877 3.272),88160,2230,,,,,"Meta, Colombia"
Meta,Colombia,2021-08-22,3.272,-73.0877,POINT(-73.0877 3.272),87105,2200,,,,,"Meta, Colombia"
Meta,Colombia,2021-03-22,3.272,-73.0877,POINT(-73.0877 3.272),43306,991,41868,447,,,"Meta, Colombia"
Meta,Colombia,2021-03-30,3.272,-73.0877,POINT(-73.0877 3.272),43714,998,42253,463,,,"Meta, Colombia"
Meta,Colombia,2021-04-04,3.272,-73.0877,POINT(-73.0877 3.272),43960,1003,42527,430,,,"Meta, Colombia"
Meta,Colombia,2021-03-16,3.272,-73.0877,POINT(-73.0877 3.272),43069,986,41599,484,,,"Meta, Colombia"
Meta,Colombia,2021-06-12,3.272,-73.0877,POINT(-73.0877 3.272),59565,1381,55999,2185,,,"Meta, Colombia"
Meta,Colombia,2021-12-20,3.272,-73.0877,POINT(-73.0877 3.272),90645,2293,,,,,"Meta, Colombia"
Meta,Colombia,2021-07-29,3.272,-73.0877,POINT(-73.0877 3.272),85086,2086,81895,1105,,,"Meta, Colombia"
Meta,Colombia,2021-09-02,3.272,-73.0877,POINT(-73.0877 3.272),87452,2208,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-20,3.272,-73.0877,POINT(-73.0877 3.272),38578,833,36240,1505,,,"Meta, Colombia"
Meta,Colombia,2021-06-06,3.272,-73.0877,POINT(-73.0877 3.272),56276,1297,53431,1548,,,"Meta, Colombia"
Meta,Colombia,2021-01-14,3.272,-73.0877,POINT(-73.0877 3.272),36936,800,34922,1214,,,"Meta, Colombia"
Meta,Colombia,2021-04-10,3.272,-73.0877,POINT(-73.0877 3.272),44370,1012,42849,509,,,"Meta, Colombia"
Meta,Colombia,2021-12-14,3.272,-73.0877,POINT(-73.0877 3.272),90510,2287,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-06,3.272,-73.0877,POINT(-73.0877 3.272),89741,2279,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-02,3.272,-73.0877,POINT(-73.0877 3.272),89703,2278,,,,,"Meta, Colombia"
Meta,Colombia,2021-07-04,3.272,-73.0877,POINT(-73.0877 3.272),75006,1762,70614,2630,,,"Meta, Colombia"
Meta,Colombia,2021-08-12,3.272,-73.0877,POINT(-73.0877 3.272),86642,2173,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-25,3.272,-73.0877,POINT(-73.0877 3.272),90768,2301,,,,,"Meta, Colombia"
Meta,Colombia,2021-05-16,3.272,-73.0877,POINT(-73.0877 3.272),48967,1151,47151,665,,,"Meta, Colombia"
Meta,Colombia,2021-10-20,3.272,-73.0877,POINT(-73.0877 3.272),89573,2275,,,,,"Meta, Colombia"
Meta,Colombia,2021-02-04,3.272,-73.0877,POINT(-73.0877 3.272),41036,909,39279,848,,,"Meta, Colombia"
Meta,Colombia,2021-10-09,3.272,-73.0877,POINT(-73.0877 3.272),88890,2245,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-17,3.272,-73.0877,POINT(-73.0877 3.272),89899,2280,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-20,3.272,-73.0877,POINT(-73.0877 3.272),87778,2225,,,,,"Meta, Colombia"
Meta,Colombia,2021-06-24,3.272,-73.0877,POINT(-73.0877 3.272),67025,1597,63509,1919,,,"Meta, Colombia"
Meta,Colombia,2021-03-28,3.272,-73.0877,POINT(-73.0877 3.272),43637,996,42162,479,,,"Meta, Colombia"
Meta,Colombia,2021-10-21,3.272,-73.0877,POINT(-73.0877 3.272),89581,2275,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-16,3.272,-73.0877,POINT(-73.0877 3.272),89885,2279,,,,,"Meta, Colombia"
Meta,Colombia,2021-04-20,3.272,-73.0877,POINT(-73.0877 3.272),45321,1035,43601,685,,,"Meta, Colombia"
Meta,Colombia,2021-04-08,3.272,-73.0877,POINT(-73.0877 3.272),44217,1011,42800,406,,,"Meta, Colombia"
Meta,Colombia,2021-03-12,3.272,-73.0877,POINT(-73.0877 3.272),42907,983,41447,477,,,"Meta, Colombia"
Meta,Colombia,2021-01-12,3.272,-73.0877,POINT(-73.0877 3.272),36503,789,34427,1287,,,"Meta, Colombia"
Meta,Colombia,2021-01-04,3.272,-73.0877,POINT(-73.0877 3.272),34580,751,32798,1031,,,"Meta, Colombia"
Meta,Colombia,2021-11-09,3.272,-73.0877,POINT(-73.0877 3.272),89787,2279,,,,,"Meta, Colombia"
Meta,Colombia,2021-04-02,3.272,-73.0877,POINT(-73.0877 3.272),43869,1002,42426,441,,,"Meta, Colombia"
Meta,Colombia,2021-12-10,3.272,-73.0877,POINT(-73.0877 3.272),90379,2286,,,,,"Meta, Colombia"
Meta,Colombia,2021-06-22,3.272,-73.0877,POINT(-73.0877 3.272),66017,1561,62287,2169,,,"Meta, Colombia"
Meta,Colombia,2021-06-14,3.272,-73.0877,POINT(-73.0877 3.272),59565,1406,57235,924,,,"Meta, Colombia"
Meta,Colombia,2021-03-14,3.272,-73.0877,POINT(-73.0877 3.272),43013,984,41544,485,,,"Meta, Colombia"
Meta,Colombia,2021-09-12,3.272,-73.0877,POINT(-73.0877 3.272),87645,2220,,,,,"Meta, Colombia"
Meta,Colombia,2021-06-04,3.272,-73.0877,POINT(-73.0877 3.272),55263,1272,52293,1698,,,"Meta, Colombia"
Meta,Colombia,2021-09-04,3.272,-73.0877,POINT(-73.0877 3.272),87482,2211,,,,,"Meta, Colombia"
Meta,Colombia,2021-03-08,3.272,-73.0877,POINT(-73.0877 3.272),42696,978,41245,473,,,"Meta, Colombia"
Meta,Colombia,2021-08-24,3.272,-73.0877,POINT(-73.0877 3.272),87202,2202,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-07,3.272,-73.0877,POINT(-73.0877 3.272),87516,2212,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-24,3.272,-73.0877,POINT(-73.0877 3.272),90740,2301,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-24,3.272,-73.0877,POINT(-73.0877 3.272),39329,856,36956,1517,,,"Meta, Colombia"
Meta,Colombia,2021-07-19,3.272,-73.0877,POINT(-73.0877 3.272),81254,1988,78416,850,,,"Meta, Colombia"
Meta,Colombia,2021-08-27,3.272,-73.0877,POINT(-73.0877 3.272),87271,2206,,,,,"Meta, Colombia"
Meta,Colombia,2021-03-31,3.272,-73.0877,POINT(-73.0877 3.272),43742,999,42271,472,,,"Meta, Colombia"
Meta,Colombia,2021-06-05,3.272,-73.0877,POINT(-73.0877 3.272),55768,1285,52937,1546,,,"Meta, Colombia"
Meta,Colombia,2021-06-13,3.272,-73.0877,POINT(-73.0877 3.272),59565,1390,56461,1714,,,"Meta, Colombia"
Meta,Colombia,2021-03-07,3.272,-73.0877,POINT(-73.0877 3.272),42660,975,41195,490,,,"Meta, Colombia"
Meta,Colombia,2021-09-03,3.272,-73.0877,POINT(-73.0877 3.272),87470,2208,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-03,3.272,-73.0877,POINT(-73.0877 3.272),90248,2283,,,,,"Meta, Colombia"
Meta,Colombia,2021-06-21,3.272,-73.0877,POINT(-73.0877 3.272),65207,1538,61485,2184,,,"Meta, Colombia"
Meta,Colombia,2021-03-15,3.272,-73.0877,POINT(-73.0877 3.272),43033,985,41581,467,,,"Meta, Colombia"
Meta,Colombia,2021-05-27,3.272,-73.0877,POINT(-73.0877 3.272),51879,1217,49510,1152,,,"Meta, Colombia"
Meta,Colombia,2021-05-19,3.272,-73.0877,POINT(-73.0877 3.272),49487,1170,47566,751,,,"Meta, Colombia"
Meta,Colombia,2021-08-09,3.272,-73.0877,POINT(-73.0877 3.272),86414,2169,,,,,"Meta, Colombia"
Meta,Colombia,2021-08-17,3.272,-73.0877,POINT(-73.0877 3.272),86886,2184,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-24,3.272,-73.0877,POINT(-73.0877 3.272),90062,2280,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-22,3.272,-73.0877,POINT(-73.0877 3.272),87801,2225,,,,,"Meta, Colombia"
